drug1,drug2,status
Acid tranexamic,Metronidazol,unknown
Acid tranexamic,Micafungin natri,unknown
Acid tranexamic,Midazolam,unknown
Acid tranexamic,Milrinone,unknown
Acid tranexamic,Morphin sulfat,unknown
Acid tranexamic,Kali chlorid,unknown
Acid tranexamic,Natri colistimethat,unknown
Acid tranexamic,Recombinant Human Erythropoietin alfa,unknown
Acid tranexamic,Naloxon hydroclorid,unknown
Acid tranexamic,Neostigmin methylsulfat,unknown
Acid tranexamic,Nicardipin hydrochlorid,unknown
Acid tranexamic,Noradrenalin,unknown
Acid tranexamic,Octreotide,unknown
Acid tranexamic,Omeprazol,unknown
Acid tranexamic,Ondansetron,unknown
Acid tranexamic,Oxacilin,unknown
Acid tranexamic,Pantoprazol,unknown
Acid tranexamic,Phenobarbital,unknown
Acid tranexamic,Phytomenadion,unknown
Acid tranexamic,Piperacilin + Tazobactam,incompatible
Acid tranexamic,Propofol,unknown
Acid tranexamic,Rocuronium Bromid,unknown
Acid tranexamic,Natri bicarbonat,unknown
Acid tranexamic,Natri Chlorid,unknown
Acid tranexamic,Natri lactat,unknown
Acid tranexamic,Sugammadex,unknown
Acid tranexamic,Terbutalin sulfat,unknown
Acid tranexamic,Tinidazol,unknown
Acid tranexamic,Tobramycin sulfat,unknown
Acid tranexamic,Vancomycin,unknown
Acid tranexamic,Voriconazol,unknown
Adenosin,Albumin Human,unknown
Adenosin,Amikacin sulfat,unknown
Adenosin,Aminophyline (Theophylin-ethylendiamin),unknown
Adenosin,Amiodarone hydrochlorid,unknown
Adenosin,Amoxicilin + Acid clavulanic,unknown
Adenosin,Amphotericin B,unknown
Adenosin,Ampicillin + Sulbactam,unknown
Adenosin,Atropin Sulfat,unknown
Adenosin,Azithromycin,unknown
Adenosin,Bupivacaine HCl,unknown
Adenosin,Cafein,unknown
Adenosin,Calci chlorid,unknown
Adenosin,Calci gluconat,unknown
Adenosin,Caspofungin,unknown
Adenosin,Cefamandol,unknown
Adenosin,Cefazolin,unknown
Adenosin,Cefepim,unknown
Adenosin,Cefoperazon,unknown
Adenosin,Cefoperazon + sulbactam,unknown
Adenosin,Cefotaxim,unknown
Adenosin,Cefoxitin,unknown
Adenosin,Ceftarolin,unknown
Adenosin,Ceftazidim,unknown
Adenosin,Ceftazidim  +  Avibactam,unknown
Adenosin,Ceftriaxon,unknown
Adenosin,Ciprofloxacin,unknown
Adenosin,Clindamycin,unknown
Adenosin,Deferoxamin mesilat,unknown
Adenosin,Dexamethason phosphat,unknown
Adenosin,Dextrose,unknown
Adenosin,Diazepam,unknown
Adenosin,Diphenhydramin hydroclorid,unknown
Adenosin,Dobutamine Hydrochlorid,unknown
Adenosin,Dopamin hydrochlorid,unknown
Adenosin,Enoxaparin natri,unknown
Adenosin,Adrenalin,unknown
Adenosin,Esomeprazol,unknown
Adenosin,Fentanyl,unknown
Adenosin,Filgrastim,unknown
Adenosin,Fluconazol,unknown
Adenosin,Fosfomycin Sodium,unknown
Adenosin,Furosemid,unknown
Adenosin,Ganciclovir,unknown
Adenosin,Gentamicin,unknown
Adenosin,Heparin natri,unknown
Adenosin,Gelatin,unknown
Adenosin,Benzylpenicilin natri,unknown
Adenosin,Hydrocortison,unknown
Adenosin,Iloprost,unknown
Adenosin,Imipenem + Cilasatin,unknown
Adenosin,Immune globulin,unknown
Adenosin,Insulin aspart,unknown
Adenosin,Iohexol,unknown
Adenosin,Iopromide,unknown
Adenosin,Ketamine,unknown
Adenosin,Ketorolac Tromethamol,unknown
Adenosin,Levobupivacain,unknown
Adenosin,Levofloxacin,unknown
Adenosin,Lidocain hydroclorid,unknown
Adenosin,Linezolid,unknown
Adenosin,Magie Chlorid,unknown
Adenosin,Magie sulfat,unknown
Adenosin,Manitol,unknown
Adenosin,Meropenem,unknown
Adenosin,Methotrexat,unknown
Adenosin,Methylprednisolon,unknown
Adenosin,Metronidazol,unknown
Adenosin,Micafungin natri,unknown
Adenosin,Midazolam,unknown
Adenosin,Milrinone,unknown
Adenosin,Morphin sulfat,unknown
Adenosin,Kali chlorid,unknown
Adenosin,Natri colistimethat,unknown
Adenosin,Recombinant Human Erythropoietin alfa,unknown
Adenosin,Naloxon hydroclorid,unknown
Adenosin,Neostigmin methylsulfat,unknown
Adenosin,Nicardipin hydrochlorid,unknown
Adenosin,Noradrenalin,unknown
Adenosin,Octreotide,unknown
Adenosin,Omeprazol,unknown
Adenosin,Ondansetron,unknown
Adenosin,Oxacilin,unknown
Adenosin,Pantoprazol,unknown
Adenosin,Phenobarbital,unknown
Adenosin,Phytomenadion,unknown
Adenosin,Piperacilin + Tazobactam,unknown
Adenosin,Propofol,unknown
Adenosin,Rocuronium Bromid,unknown
Adenosin,Natri bicarbonat,unknown
Adenosin,Natri Chlorid,unknown
Adenosin,Natri lactat,unknown
Adenosin,Sugammadex,unknown
Adenosin,Terbutalin sulfat,unknown
Adenosin,Tinidazol,unknown
Adenosin,Tobramycin sulfat,unknown
Adenosin,Vancomycin,unknown
Adenosin,Voriconazol,unknown
Adrenalin,Albumin Human,unknown
Adrenalin,Amikacin sulfat,compatible
Adrenalin,Aminophyline (Theophylin-ethylendiamin),incompatible
Adrenalin,Amiodarone hydrochlorid,compatible
Adrenalin,Amoxicilin + Acid clavulanic,unknown
Adrenalin,Amphotericin B,incompatible
Adrenalin,Ampicillin + Sulbactam,controversial
Adrenalin,Atropin Sulfat,compatible
Adrenalin,Azithromycin,compatible
Adrenalin,Bupivacaine HCl,unknown
Adrenalin,Cafein,compatible
Adrenalin,Calci chlorid,compatible
Adrenalin,Calci gluconat,compatible
Adrenalin,Caspofungin,compatible
Adrenalin,Cefamandol,compatible
Adrenalin,Cefazolin,compatible
Adrenalin,Cefepim,unknown
Adrenalin,Cefoperazon,compatible
Adrenalin,Cefoperazon + sulbactam,unknown
Adrenalin,Cefotaxim,compatible
Adrenalin,Cefoxitin,compatible
Adrenalin,Ceftarolin,unknown
Adrenalin,Ceftazidim,compatible
Adrenalin,Ceftazidim  +  Avibactam,unknown
Adrenalin,Ceftriaxon,compatible
Adrenalin,Ciprofloxacin,unknown
Adrenalin,Clindamycin,compatible
Adrenalin,Deferoxamin mesilat,unknown
Adrenalin,Dexamethason phosphat,compatible
Adrenalin,Dextrose,unknown
Adrenalin,Diazepam,incompatible
Adrenalin,Diphenhydramin hydroclorid,compatible
Adrenalin,Dobutamine Hydrochlorid,compatible
Adrenalin,Dopamin hydrochlorid,compatible
Adrenalin,Enoxaparin natri,unknown
Adrenalin,Esomeprazol,unknown
Adrenalin,Fentanyl,compatible
Adrenalin,Filgrastim,unknown
Adrenalin,Fluconazol,compatible
Adrenalin,Fosfomycin Sodium,controversial
Adrenalin,Furosemid,compatible
Adrenalin,Ganciclovir,incompatible
Adrenalin,Gentamicin,compatible
Adrenalin,Heparin natri,compatible
Adrenalin,Gelatin,unknown
Adrenalin,Benzylpenicilin natri,compatible
Adrenalin,Hydrocortison,compatible
Adrenalin,Iloprost,unknown
Adrenalin,Imipenem + Cilasatin,compatible
Adrenalin,Immune globulin,unknown
Adrenalin,Insulin aspart,compatible
Adrenalin,Iohexol,unknown
Adrenalin,Iopromide,unknown
Adrenalin,Ketamine,compatible
Adrenalin,Ketorolac Tromethamol,compatible
Adrenalin,Levobupivacain,unknown
Adrenalin,Levofloxacin,compatible
Adrenalin,Lidocain hydroclorid,compatible
Adrenalin,Linezolid,compatible
Adrenalin,Magie Chlorid,unknown
Adrenalin,Magie sulfat,compatible
Adrenalin,Manitol,compatible
Adrenalin,Meropenem,compatible
Adrenalin,Methotrexat,compatible
Adrenalin,Methylprednisolon,unknown
Adrenalin,Metronidazol,compatible
Adrenalin,Micafungin natri,incompatible
Adrenalin,Midazolam,compatible
Adrenalin,Milrinone,compatible
Adrenalin,Morphin sulfat,compatible
Adrenalin,Kali chlorid,compatible
Adrenalin,Natri colistimethat,compatible
Adrenalin,Recombinant Human Erythropoietin alfa,compatible
Adrenalin,Naloxon hydroclorid,compatible
Adrenalin,Neostigmin methylsulfat,unknown
Adrenalin,Nicardipin hydrochlorid,compatible
Adrenalin,Noradrenalin,unknown
Adrenalin,Octreotide,compatible
Adrenalin,Omeprazol,unknown
Adrenalin,Ondansetron,compatible
Adrenalin,Oxacilin,compatible
Adrenalin,Pantoprazol,controversial
Adrenalin,Phenobarbital,incompatible
Adrenalin,Phytomenadion,compatible
Adrenalin,Piperacilin + Tazobactam,compatible
Adrenalin,Propofol,controversial
Adrenalin,Rocuronium Bromid,compatible
Adrenalin,Natri bicarbonat,incompatible
Adrenalin,Natri Chlorid,unknown
Adrenalin,Natri lactat,unknown
Adrenalin,Sugammadex,unknown
Adrenalin,Terbutalin sulfat,unknown
Adrenalin,Tinidazol,unknown
Adrenalin,Tobramycin sulfat,compatible
Adrenalin,Vancomycin,compatible
Adrenalin,Voriconazol,compatible
Albumin Human,Amikacin sulfat,unknown
Albumin Human,Aminophyline (Theophylin-ethylendiamin),unknown
Albumin Human,Amiodarone hydrochlorid,unknown
Albumin Human,Amoxicilin + Acid clavulanic,unknown
Albumin Human,Amphotericin B,unknown
Albumin Human,Ampicillin + Sulbactam,unknown
Albumin Human,Atropin Sulfat,unknown
Albumin Human,Azithromycin,unknown
Albumin Human,Bupivacaine HCl,unknown
Albumin Human,Cafein,unknown
Albumin Human,Calci chlorid,unknown
Albumin Human,Calci gluconat,unknown
Albumin Human,Caspofungin,unknown
Albumin Human,Cefamandol,unknown
Albumin Human,Cefazolin,unknown
Albumin Human,Cefepim,unknown
Albumin Human,Cefoperazon,unknown
Albumin Human,Cefoperazon + sulbactam,unknown
Albumin Human,Cefotaxim,unknown
Albumin Human,Cefoxitin,unknown
Albumin Human,Ceftarolin,unknown
Albumin Human,Ceftazidim,unknown
Albumin Human,Ceftazidim  +  Avibactam,unknown
Albumin Human,Ceftriaxon,unknown
Albumin Human,Ciprofloxacin,unknown
Albumin Human,Clindamycin,unknown
Albumin Human,Deferoxamin mesilat,unknown
Albumin Human,Dexamethason phosphat,unknown
Albumin Human,Dextrose,unknown
Albumin Human,Diazepam,unknown
Albumin Human,Diphenhydramin hydroclorid,unknown
Albumin Human,Dobutamine Hydrochlorid,unknown
Albumin Human,Dopamin hydrochlorid,unknown
Albumin Human,Enoxaparin natri,unknown
Albumin Human,Esomeprazol,unknown
Albumin Human,Fentanyl,unknown
Albumin Human,Filgrastim,unknown
Albumin Human,Fluconazol,unknown
Albumin Human,Fosfomycin Sodium,incompatible
Albumin Human,Furosemid,unknown
Albumin Human,Ganciclovir,unknown
Albumin Human,Gentamicin,unknown
Albumin Human,Heparin natri,unknown
Albumin Human,Gelatin,unknown
Albumin Human,Benzylpenicilin natri,unknown
Albumin Human,Natri colistimethat,unknown
Albumin Human,Recombinant Human Erythropoietin alfa,unknown
Albumin Human,Naloxon hydroclorid,unknown
Albumin Human,Neostigmin methylsulfat,unknown
Albumin Human,Nicardipin hydrochlorid,unknown
Albumin Human,Noradrenalin,unknown
Albumin Human,Octreotide,unknown
Albumin Human,Omeprazol,unknown
Albumin Human,Ondansetron,unknown
Albumin Human,Oxacilin,unknown
Albumin Human,Pantoprazol,unknown
Albumin Human,Phenobarbital,unknown
Albumin Human,Phytomenadion,unknown
Albumin Human,Piperacilin + Tazobactam,unknown
Albumin Human,Propofol,unknown
Albumin Human,Rocuronium Bromid,unknown
Albumin Human,Natri bicarbonat,unknown
Albumin Human,Natri Chlorid,unknown
Albumin Human,Natri lactat,unknown
Albumin Human,Sugammadex,unknown
Albumin Human,Terbutalin sulfat,unknown
Albumin Human,Tinidazol,unknown
Albumin Human,Tobramycin sulfat,unknown
Albumin Human,Vancomycin,incompatible
Albumin Human,Voriconazol,unknown
Albumin Human,Hydrocortison,compatible
Albumin Human,Iloprost,unknown
Albumin Human,Imipenem + Cilasatin,unknown
Albumin Human,Immune globulin,unknown
Albumin Human,Insulin aspart,unknown
Albumin Human,Iohexol,unknown
Albumin Human,Iopromide,unknown
Albumin Human,Ketamine,compatible
Albumin Human,Ketorolac Tromethamol,unknown
Albumin Human,Levobupivacain,unknown
Albumin Human,Levofloxacin,unknown
Albumin Human,Lidocain hydroclorid,unknown
Albumin Human,Linezolid,unknown
Albumin Human,Magie Chlorid,unknown
Albumin Human,Magie sulfat,unknown
Albumin Human,Manitol,unknown
Albumin Human,Meropenem,compatible
Albumin Human,Methotrexat,unknown
Albumin Human,Methylprednisolon,unknown
Albumin Human,Metronidazol,unknown
Albumin Human,Micafungin natri,incompatible
Albumin Human,Midazolam,incompatible
Albumin Human,Milrinone,unknown
Albumin Human,Morphin sulfat,unknown
Albumin Human,Kali chlorid,unknown
Amikacin sulfat,Aminophyline (Theophylin-ethylendiamin),compatible
Amikacin sulfat,Amiodarone hydrochlorid,compatible
Amikacin sulfat,Amoxicilin + Acid clavulanic,unknown
Amikacin sulfat,Amphotericin B,incompatible
Amikacin sulfat,Ampicillin + Sulbactam,controversial
Amikacin sulfat,Atropin Sulfat,compatible
Amikacin sulfat,Azithromycin,controversial
Amikacin sulfat,Bupivacaine HCl,unknown
Amikacin sulfat,Cafein,unknown
Amikacin sulfat,Calci chlorid,compatible
Amikacin sulfat,Calci gluconat,compatible
Amikacin sulfat,Caspofungin,compatible
Amikacin sulfat,Cefamandol,compatible
Amikacin sulfat,Cefazolin,compatible
Amikacin sulfat,Cefepim,compatible
Amikacin sulfat,Cefoperazon,incompatible
Amikacin sulfat,Cefoperazon + sulbactam,unknown
Amikacin sulfat,Cefotaxim,compatible
Amikacin sulfat,Cefoxitin,compatible
Amikacin sulfat,Ceftarolin,compatible
Amikacin sulfat,Ceftazidim,compatible
Amikacin sulfat,Ceftazidim  +  Avibactam,compatible
Amikacin sulfat,Ceftriaxon,compatible
Amikacin sulfat,Ciprofloxacin,unknown
Amikacin sulfat,Clindamycin,compatible
Amikacin sulfat,Deferoxamin mesilat,unknown
Amikacin sulfat,Dexamethason phosphat,compatible
Amikacin sulfat,Dextrose,unknown
Amikacin sulfat,Diazepam,incompatible
Amikacin sulfat,Diphenhydramin hydroclorid,compatible
Amikacin sulfat,Dobutamine Hydrochlorid,compatible
Amikacin sulfat,Dopamin hydrochlorid,compatible
Amikacin sulfat,Enoxaparin natri,unknown
Amikacin sulfat,Esomeprazol,unknown
Amikacin sulfat,Fentanyl,compatible
Amikacin sulfat,Filgrastim,compatible
Amikacin sulfat,Fluconazol,compatible
Amikacin sulfat,Fosfomycin Sodium,compatible
Amikacin sulfat,Furosemid,compatible
Amikacin sulfat,Ganciclovir,incompatible
Amikacin sulfat,Gentamicin,compatible
Amikacin sulfat,Heparin natri,controversial
Amikacin sulfat,Gelatin,unknown
Amikacin sulfat,Benzylpenicilin natri,compatible
Amikacin sulfat,Hydrocortison,unknown
Amikacin sulfat,Iloprost,unknown
Amikacin sulfat,Imipenem + Cilasatin,compatible
Amikacin sulfat,Immune globulin,unknown
Amikacin sulfat,Insulin aspart,unknown
Amikacin sulfat,Iohexol,unknown
Amikacin sulfat,Iopromide,unknown
Amikacin sulfat,Ketamine,compatible
Amikacin sulfat,Ketorolac Tromethamol,compatible
Amikacin sulfat,Levobupivacain,unknown
Amikacin sulfat,Levofloxacin,compatible
Amikacin sulfat,Lidocain hydroclorid,compatible
Amikacin sulfat,Linezolid,compatible
Amikacin sulfat,Magie Chlorid,unknown
Amikacin sulfat,Magie sulfat,compatible
Amikacin sulfat,Manitol,compatible
Amikacin sulfat,Meropenem,controversial
Amikacin sulfat,Methotrexat,compatible
Amikacin sulfat,Methylprednisolon,unknown
Amikacin sulfat,Metronidazol,compatible
Amikacin sulfat,Micafungin natri,unknown
Amikacin sulfat,Midazolam,compatible
Amikacin sulfat,Milrinone,compatible
Amikacin sulfat,Morphin sulfat,compatible
Amikacin sulfat,Kali chlorid,compatible
Amikacin sulfat,Natri colistimethat,unknown
Amikacin sulfat,Recombinant Human Erythropoietin alfa,compatible
Amikacin sulfat,Naloxon hydroclorid,compatible
Amikacin sulfat,Neostigmin methylsulfat,unknown
Amikacin sulfat,Nicardipin hydrochlorid,compatible
Amikacin sulfat,Noradrenalin,unknown
Amikacin sulfat,Octreotide,compatible
Amikacin sulfat,Omeprazol,unknown
Amikacin sulfat,Ondansetron,compatible
Amikacin sulfat,Oxacilin,controversial
Amikacin sulfat,Pantoprazol,controversial
Amikacin sulfat,Phenobarbital,compatible
Amikacin sulfat,Phytomenadion,compatible
Amikacin sulfat,Piperacilin + Tazobactam,compatible
Amikacin sulfat,Propofol,incompatible
Amikacin sulfat,Rocuronium Bromid,compatible
Amikacin sulfat,Natri bicarbonat,compatible
Amikacin sulfat,Natri Chlorid,unknown
Amikacin sulfat,Natri lactat,unknown
Amikacin sulfat,Sugammadex,unknown
Amikacin sulfat,Terbutalin sulfat,unknown
Amikacin sulfat,Tinidazol,unknown
Amikacin sulfat,Tobramycin sulfat,compatible
Amikacin sulfat,Vancomycin,compatible
Amikacin sulfat,Voriconazol,compatible
Aminophyline (Theophylin-ethylendiamin),Amiodarone hydrochlorid,incompatible
Aminophyline (Theophylin-ethylendiamin),Amoxicilin + Acid clavulanic,unknown
Aminophyline (Theophylin-ethylendiamin),Amphotericin B,controversial
Aminophyline (Theophylin-ethylendiamin),Ampicillin + Sulbactam,controversial
Aminophyline (Theophylin-ethylendiamin),Atropin Sulfat,compatible
Aminophyline (Theophylin-ethylendiamin),Azithromycin,compatible
Aminophyline (Theophylin-ethylendiamin),Bupivacaine HCl,unknown
Aminophyline (Theophylin-ethylendiamin),Cafein,unknown
Aminophyline (Theophylin-ethylendiamin),Calci chlorid,compatible
Aminophyline (Theophylin-ethylendiamin),Calci gluconat,compatible
Aminophyline (Theophylin-ethylendiamin),Caspofungin,compatible
Aminophyline (Theophylin-ethylendiamin),Cefamandol,compatible
Aminophyline (Theophylin-ethylendiamin),Cefazolin,compatible
Aminophyline (Theophylin-ethylendiamin),Cefepim,unknown
Aminophyline (Theophylin-ethylendiamin),Cefoperazon,compatible
Aminophyline (Theophylin-ethylendiamin),Cefoperazon + sulbactam,unknown
Aminophyline (Theophylin-ethylendiamin),Cefotaxim,compatible
Aminophyline (Theophylin-ethylendiamin),Cefoxitin,compatible
Aminophyline (Theophylin-ethylendiamin),Ceftarolin,compatible
Aminophyline (Theophylin-ethylendiamin),Ceftazidim,compatible
Aminophyline (Theophylin-ethylendiamin),Ceftazidim  +  Avibactam,unknown
Aminophyline (Theophylin-ethylendiamin),Ceftriaxon,compatible
Aminophyline (Theophylin-ethylendiamin),Ciprofloxacin,incompatible
Aminophyline (Theophylin-ethylendiamin),Clindamycin,compatible
Aminophyline (Theophylin-ethylendiamin),Deferoxamin mesilat,unknown
Aminophyline (Theophylin-ethylendiamin),Dexamethason phosphat,compatible
Aminophyline (Theophylin-ethylendiamin),Dextrose,unknown
Aminophyline (Theophylin-ethylendiamin),Diazepam,incompatible
Aminophyline (Theophylin-ethylendiamin),Diphenhydramin hydroclorid,incompatible
Aminophyline (Theophylin-ethylendiamin),Dobutamine Hydrochlorid,incompatible
Aminophyline (Theophylin-ethylendiamin),Dopamin hydrochlorid,compatible
Aminophyline (Theophylin-ethylendiamin),Enoxaparin natri,unknown
Aminophyline (Theophylin-ethylendiamin),Esomeprazol,unknown
Aminophyline (Theophylin-ethylendiamin),Fentanyl,compatible
Aminophyline (Theophylin-ethylendiamin),Filgrastim,compatible
Aminophyline (Theophylin-ethylendiamin),Fluconazol,compatible
Aminophyline (Theophylin-ethylendiamin),Fosfomycin Sodium,unknown
Aminophyline (Theophylin-ethylendiamin),Furosemid,compatible
Aminophyline (Theophylin-ethylendiamin),Ganciclovir,incompatible
Aminophyline (Theophylin-ethylendiamin),Gentamicin,compatible
Aminophyline (Theophylin-ethylendiamin),Heparin natri,compatible
Aminophyline (Theophylin-ethylendiamin),Gelatin,unknown
Aminophyline (Theophylin-ethylendiamin),Benzylpenicilin natri,controversial
Aminophyline (Theophylin-ethylendiamin),Hydrocortison,unknown
Aminophyline (Theophylin-ethylendiamin),Iloprost,unknown
Aminophyline (Theophylin-ethylendiamin),Imipenem + Cilasatin,controversial
Aminophyline (Theophylin-ethylendiamin),Immune globulin,unknown
Aminophyline (Theophylin-ethylendiamin),Insulin aspart,unknown
Aminophyline (Theophylin-ethylendiamin),Iohexol,unknown
Aminophyline (Theophylin-ethylendiamin),Iopromide,unknown
Aminophyline (Theophylin-ethylendiamin),Ketamine,incompatible
Aminophyline (Theophylin-ethylendiamin),Ketorolac Tromethamol,compatible
Aminophyline (Theophylin-ethylendiamin),Levobupivacain,unknown
Aminophyline (Theophylin-ethylendiamin),Levofloxacin,compatible
Aminophyline (Theophylin-ethylendiamin),Lidocain hydroclorid,compatible
Aminophyline (Theophylin-ethylendiamin),Linezolid,compatible
Aminophyline (Theophylin-ethylendiamin),Magie Chlorid,unknown
Aminophyline (Theophylin-ethylendiamin),Magie sulfat,incompatible
