record_id,raw_mention,normalized_mention,interaction_count,proposed_concept_code,proposed_name_vi,concept_type,body_system,severity,course,stage,dialysis,criteria_text,source_fragment,expression,is_compound,confidence,ai_status,match_status,mapping_status,reason,review_decision,review_note
condition-mention:bc1bb8eadcc90053,Bệnh nhân suy gan,benh nhan suy gan,4,hepatic_impairment,Suy giảm chức năng gan,organ_impairment,hepatic,,,,,,Bệnh nhân suy gan,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:9b4c0f185e096b8e,Đái tháo đường typ 1,dai thao duong typ 1,4,type_1_diabetes,Đái tháo đường típ 1,disease,endocrine,,,,,,Đái tháo đường typ 1,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:3060192d59e25615,Hạ huyết áp,ha huyet ap,4,hypotension,Hạ huyết áp,clinical_finding,cardiovascular,,,,,,Hạ huyết áp,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:9957188b8c58efc3,Hẹp động mạch thận,hep dong mach than,4,renal_artery_stenosis,Hẹp động mạch thận,disease,renal,,,,,,Hẹp động mạch thận,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:70c3a6635cb9d7c1,Không dung nạp fructose,khong dung nap fructose,4,hereditary_fructose_intolerance,Không dung nạp fructose di truyền,disease,metabolic,,,,,,Không dung nạp fructose,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:253dd088594617eb,Loét dạ dày,loet da day,4,peptic_ulcer,Loét dạ dày–tá tràng,disease,gastrointestinal,,,,,,Loét dạ dày,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:e25fecb2cde3631f,nhịp tim nhanh,nhip tim nhanh,4,tachycardia,Nhịp tim nhanh,clinical_finding,cardiovascular,,,,,nhịp tim nhanh,nhịp tim nhanh,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:08dac836f5e186e4,Nhồi máu cơ tim cấp,nhoi mau co tim cap,4,myocardial_infarction,Nhồi máu cơ tim,disease,cardiovascular,,acute,,,,Nhồi máu cơ tim cấp,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:71360ff0a6f144a1,Suy tim nặng,suy tim nang,4,heart_failure,Suy tim,disease,cardiovascular,severe,,,,,Suy tim nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:21da97e7be48d5c5,Tăng bạch cầu đơn nhân nhiễm khuẩn,tang bach cau don nhan nhiem khuan,4,infection,Nhiễm trùng/nhiễm khuẩn,disease,infectious,,,,,,Tăng bạch cầu đơn nhân nhiễm khuẩn,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:e1f2b93302a8d90d,U tủy thượng thận,u tuy thuong than,4,pheochromocytoma,U tủy thượng thận,disease,endocrine,,,,,,U tủy thượng thận,unclear,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:e1f2b93302a8d90d,U tủy thượng thận,u tuy thuong than,4,multiple_myeloma,Đa u tủy,disease,oncologic,,,,,,U tủy thượng thận,unclear,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:10f7a196cd799cdc,Bệnh gan hoạt động hoặc transaminase huyết thanh tăng dai dẳng mà không giải thích được,benh gan hoat dong hoac transaminase huyet thanh tang dai dang ma khong giai thich duoc,3,active_liver_disease,Bệnh gan đang hoạt động,disease,hepatic,,,,,,Bệnh gan hoạt động hoặc transaminase huyết thanh tăng dai dẳng mà không giải thích được,or,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:10f7a196cd799cdc,Bệnh gan hoạt động hoặc transaminase huyết thanh tăng dai dẳng mà không giải thích được,benh gan hoat dong hoac transaminase huyet thanh tang dai dang ma khong giai thich duoc,3,elevated_liver_enzymes,Tăng men gan/transaminase,clinical_finding,hepatic,,,,,,Bệnh gan hoạt động hoặc transaminase huyết thanh tăng dai dẳng mà không giải thích được,or,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:cb35d198fdbd2fa0,Bệnh gan nặng,benh gan nang,3,liver_disease,Bệnh gan,disease,hepatic,severe,,,,,Bệnh gan nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:a6e660840abb9ee2,Bệnh nhân suy thận nặng,benh nhan suy than nang,3,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,severe,,,,,Bệnh nhân suy thận nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:ede1bfd23e86963a,bệnh tiểu đường,benh tieu duong,3,diabetes_mellitus,Đái tháo đường,disease,endocrine,,,,,,bệnh tiểu đường,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:fc91df18278cb2e9,Cường aldosteron nguyên phát,cuong aldosteron nguyen phat,3,primary_hyperaldosteronism,Cường aldosteron nguyên phát,disease,endocrine,,,,,,Cường aldosteron nguyên phát,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:4f07be82ac4cbf7b,Đái tháo đường tuýp 1,dai thao duong tuyp 1,3,type_1_diabetes,Đái tháo đường típ 1,disease,endocrine,,,,,,Đái tháo đường tuýp 1,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:52ee564bf8b04840,glaucoma góc đóng,glaucoma goc dong,3,angle_closure_glaucoma,Glôcôm góc đóng/góc hẹp,disease,ophthalmic,,,,,,glaucoma góc đóng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:29690c560f40eb09,hen suyễn,hen suyen,3,asthma,Hen phế quản,disease,respiratory,,,,,,hen suyễn,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:082bc7eba18ae2d8,Hẹp cơ học đường tiêu hóa,hep co hoc duong tieu hoa,3,bowel_obstruction,Tắc nghẽn ruột,disease,gastrointestinal,,,,,,Hẹp cơ học đường tiêu hóa,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:5d203b5ec4f2b8cd,Mang thai,mang thai,3,pregnancy,Mang thai,special_condition,special,,,,,,Mang thai,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:fe91e141fd69e568,Mất nước,mat nuoc,3,dehydration,Mất nước,clinical_finding,metabolic,,,,,,Mất nước,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:70be5846427999d2,nhiễm toan ceton do đái tháo đường,nhiem toan ceton do dai thao duong,3,diabetic_ketoacidosis,Nhiễm toan ceton do đái tháo đường,disease,endocrine,,,,,,nhiễm toan ceton do đái tháo đường,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:385c7e41e72afc0f,nhiễm toan chuyển hóa,nhiem toan chuyen hoa,3,metabolic_acidosis,Nhiễm toan chuyển hóa,clinical_finding,metabolic,,,,,,nhiễm toan chuyển hóa,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:54fea00fbea17636,Nhồi máu cơ tim gần đây,nhoi mau co tim gan day,3,myocardial_infarction,Nhồi máu cơ tim,disease,cardiovascular,,,,,,Nhồi máu cơ tim gần đây,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:5a02122218294a0f,Phenylceton - niệu,phenylceton nieu,3,phenylketonuria,Phenylketon niệu,disease,metabolic,,,,,,Phenylceton - niệu,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:79d7c5ec74a4a109,Phù,phu,3,edema,Phù,clinical_finding,systemic,,,,,,Phù,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:727ddf86aaec76a1,rối loạn chức năng gan,roi loan chuc nang gan,3,hepatic_impairment,Suy giảm chức năng gan,organ_impairment,hepatic,,,,,,rối loạn chức năng gan,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:af1bae9605f44994,Rối loạn chức năng gan nặng,roi loan chuc nang gan nang,3,hepatic_impairment,Suy giảm chức năng gan,organ_impairment,hepatic,severe,,,,,Rối loạn chức năng gan nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:2b6aa6439c8675d7,Rối loạn đông máu,roi loan dong mau,3,bleeding_disorder,Rối loạn chảy máu/đông máu,disease,hematologic,,,,,,Rối loạn đông máu,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:d3c18687945a412b,suy chức năng thận,suy chuc nang than,3,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,,,,,,suy chức năng thận,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:139c6cdbadeb40ec,"Suy gan nặng, xơ gan mật hoặc ứ mật","suy gan nang, xo gan mat hoac u mat",3,cirrhosis,Xơ gan,disease,hepatic,,,,,,"Suy gan nặng, xơ gan mật hoặc ứ mật",or,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:139c6cdbadeb40ec,"Suy gan nặng, xơ gan mật hoặc ứ mật","suy gan nang, xo gan mat hoac u mat",3,cholestasis,Ứ mật,disease,hepatic,,,,,,"Suy gan nặng, xơ gan mật hoặc ứ mật",or,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:139c6cdbadeb40ec,"Suy gan nặng, xơ gan mật hoặc ứ mật","suy gan nang, xo gan mat hoac u mat",3,hepatic_impairment,Suy giảm chức năng gan,organ_impairment,hepatic,,,,,,"Suy gan nặng, xơ gan mật hoặc ứ mật",or,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:7bfd74813c2a3162,Suy thận nặng (GFR < 30 mL/phút),suy than nang gfr < phut,3,renal_impairment,Suy giảm chức năng thận,organ_impairment,renal,severe,,,,GFR < 30 mL/phút,Suy thận nặng (GFR < 30 mL/phút),single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:c11707e72ad32505,Suy tim không ổn định về huyết động sau nhồi máu cơ tim cấp,suy tim khong on dinh ve huyet dong sau nhoi mau co tim cap,3,heart_failure,Suy tim,disease,cardiovascular,,,,,,Suy tim không ổn định về huyết động sau nhồi máu cơ tim cấp,unclear,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:c11707e72ad32505,Suy tim không ổn định về huyết động sau nhồi máu cơ tim cấp,suy tim khong on dinh ve huyet dong sau nhoi mau co tim cap,3,myocardial_infarction,Nhồi máu cơ tim,disease,cardiovascular,,,,,,Suy tim không ổn định về huyết động sau nhồi máu cơ tim cấp,unclear,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:313ba463cdbcb553,Tăng nhãn áp,tang nhan ap,3,glaucoma,Glôcôm/tăng nhãn áp,disease,ophthalmic,,,,,,Tăng nhãn áp,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:fb2dbfa5f5c3a34f,Tăng nhãn áp góc đóng,tang nhan ap goc dong,3,angle_closure_glaucoma,Glôcôm góc đóng/góc hẹp,disease,ophthalmic,,,,,,Tăng nhãn áp góc đóng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:bbd391d0ded63036,Tiền sử loét dạ dày - tá tràng,tien su loet da day ta trang,3,peptic_ulcer,Loét dạ dày–tá tràng,disease,gastrointestinal,,,,,,Tiền sử loét dạ dày - tá tràng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:f5305d529421dbb4,Vô niệu,vo nieu,3,anuria,Vô niệu,clinical_finding,renal,,,,,,Vô niệu,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:8c3825c436285d0b,bệnh di truyền không dung nạp fructose,benh di truyen khong dung nap fructose,2,hereditary_fructose_intolerance,Không dung nạp fructose di truyền,disease,metabolic,,,,,,bệnh di truyền không dung nạp fructose,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:e40e39ba002565c8,Bệnh động kinh,benh dong kinh,2,epilepsy,Động kinh/co giật,disease,neurologic,,,,,,Bệnh động kinh,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:3fbbeef1bffa55b3,"Bệnh gan nặng, bệnh tim mạch nặng, bệnh hô hấp nặng","benh gan nang, benh tim mach nang, benh ho hap nang",2,liver_disease,Bệnh gan,disease,hepatic,,,,,,"Bệnh gan nặng, bệnh tim mạch nặng, bệnh hô hấp nặng",unclear,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:3fbbeef1bffa55b3,"Bệnh gan nặng, bệnh tim mạch nặng, bệnh hô hấp nặng","benh gan nang, benh tim mach nang, benh ho hap nang",2,cardiovascular_disease,Bệnh tim mạch,disease,cardiovascular,,,,,,"Bệnh gan nặng, bệnh tim mạch nặng, bệnh hô hấp nặng",unclear,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:3fbbeef1bffa55b3,"Bệnh gan nặng, bệnh tim mạch nặng, bệnh hô hấp nặng","benh gan nang, benh tim mach nang, benh ho hap nang",2,respiratory_disease,Bệnh hô hấp,disease,respiratory,,,,,,"Bệnh gan nặng, bệnh tim mạch nặng, bệnh hô hấp nặng",unclear,true,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:84245b6d983756df,Bệnh gout,benh gout,2,gout,Bệnh gút,disease,metabolic,,,,,,Bệnh gout,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:38e442f8f2bc47b4,Bệnh gút,benh gut,2,gout,Bệnh gút,disease,metabolic,,,,,,Bệnh gút,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:faf4d1bec3ecc15b,Bệnh hen,benh hen,2,asthma,Hen phế quản,disease,respiratory,,,,,,Bệnh hen,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:ede7766e20f63816,bệnh nhân hen,benh nhan hen,2,asthma,Hen phế quản,disease,respiratory,,,,,,bệnh nhân hen,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
condition-mention:a23a68e5860fc7dd,Bệnh nhân tâm thần nặng,benh nhan tam than nang,2,psychotic_disorder,Rối loạn tâm thần,disease,psychiatric,severe,,,,,Bệnh nhân tâm thần nặng,single,false,medium,not_requested,matched,needs_review,Khớp alias/thuật ngữ bằng rule tất định; bắt buộc duyệt thủ công.,,
