Hoạt chất,Hàm lượng,Biệt dược,Dạng bào chế,Nước sản xuất,Chỉ định,Chống chỉ định,Liều dùng,Liều dùng tối đa,Thận trọng,Sử dụng thuốc cho PN có thai và cho con bú,Tương tác thuốc,Tác dụng không mong muốn,Bảo quản,Tài liệu tham khảo,Hình ảnh biệt dược
Rosuvastatin ( Rosuvastatin Calci),50mg,Sterolow 20,Viên nén bao phim,Việt Nam,"- Tăng cholesterol máu nguyên phát
- Tăng cholesterol máu gia đình kiểu đồng hợp tử
- Dự phòng cho bệnh nhân có nguy cơ cao bị biến cố tim mạch nguyên phát","- Quá mẫn với các thành phần của thuốc
- Bệnh gan tiến triển
- Bệnh lý về cơ
- Đang dùng với ciclosporin
- Suy thận mức trung bình",5-10mg/ngày,,"- Ảnh hưởng thận, xương, gan
- Bệnh phổi kẽ
- Bệnh ĐTĐ",Không dùng cho PNCT và CCB,"- Tăng nồng độ khi dùng với chất ức chế protein vận chuyển
- Tăng nồng độ khi dùng với gemfibrozil và các thuốc hạ cholesterol máu khác","- Khó thở kèm, sưng mặt, môi, lưỡi, cổ họng
- Nổi hột trên da, ngứa dữ dội
- Nhức đầu, chóng mặt, buồn nôn
- Giảm tiểu cầu, vàng da, viêm gan","Bảo quản nơi khô, nhiệt độ không quá 30 độ C, tránh ánh sáng",https://drive.google.com/file/d/1m4ZhL-7qg7yQKFxs2fWQkqkE1OYqD7ad/view?usp=sharing,
Sumatriptan,50mg,Sutagran 50,Viên nén,Việt Nam,Điều trị tích cực để cắt ngay cơn đau nửa đầu,"- Quá mẫn với sumatriptan hoặc thành phần thuốc.
- Không dùng để dự phòng cơn đau.
- Bệnh tim mạch: thiếu máu cơ tim, đau thắt ngực Prinzmetal, sau nhồi máu cơ tim.
- Bệnh mạch não: đột quỵ, cơn thiếu máu não thoáng qua (TIA).
- Bệnh mạch máu ngoại biên (kể cả thiếu máu đại tràng).
- Tăng huyết áp chưa kiểm soát.
- Dùng MAOIs (chỉ dùng sumatriptan sau ≥14 ngày ngừng MAOI).
- Dùng ergotamin/dẫn chất ergot hoặc chủ vận 5-HT1 khác (chỉ dùng sumatriptan sau ≥24 giờ).
- Suy gan nặng.","1 viên( 25mg,50mg,100mg)/ ngày",200mg/ngày,"- Chỉ dùng khi đã chẩn đoán đau nửa đầu.
- Đánh giá tim mạch trước ở bệnh nhân nguy cơ mạch vành.
- Có thể gây đau/tức ngực, tăng huyết áp thoáng qua → thận trọng ở người tăng huyết áp đã kiểm soát.
- Thận trọng ở suy gan, suy thận, tiền sử động kinh.
- Không dùng khi đau đầu bất thường nghi ngờ bệnh lý não.
- Tránh phối hợp thuốc có tương tác.
- Có thể gây phản vệ/sốc (hiếm)","- Chỉ có thể sử dụng khi các bác sỹ cho rằng lợi ích của người mẹ vượt trội nguy cơ có hại cho bào thai
- Không sử dụng trong thời kỳ nuôi con bằng sữa mẹ.","- Không dùng chung với ergotamin và dẫn chất.
- Không dùng chung với MAOIs (giảm thải trừ sumatriptan).
- Thận trọng khi phối hợp SSRI (fluoxetin, fluvoxamin, paroxetin, sertralin) → nguy cơ hội chứng serotonin, cần theo dõi y tế.","- Thường gặp: đau/tức ngực–cổ–hàm, chóng mặt, mệt, buồn ngủ, cảm giác nóng/lạnh, khó thở, hồi hộp, rối loạn tiêu hóa, đau cơ, ra mồ hôi, phản ứng quá mẫn nhẹ.
- Ít gặp: nặng đầu, nghẹt/chảy mũi, táo bón, co cơ, trầm cảm, rối loạn giấc ngủ, ngứa, sốt, hen.
- Hiếm: thiếu máu cơ tim thoáng qua, đau thắt ngực, rối loạn thị giác, xuất huyết tiêu hóa, rối loạn trí nhớ, phản ứng hành vi, viêm da.","Bảo quản nơi khô ráo, ở nhiệt độ dưới 30°C.",https://drive.google.com/file/d/1hxOFh7xqSf0GBqUohIpjjDyFCJqtd_Ev/view?usp=sharing,
Ketoprofen,25mg,Sympal,Viên nén bao phim,Italy,Điều trị các triệu chứng đau mức độ nhẹ đến trung bình,"-Quá mẫn với các thành phần của thuốc
- Tiền sử xung huyết, thủng dạ dày ruột
- Khó tiêu mãn tính
- Xuất huyết tiêu hoá, suy gan độ nặng
- Tạng xuất huyết và RL đông máu khác",25mg/mỗi 8 giờ,75mg/ngày,"-Suy gan, suy thận
- Nguy cơ huyết khối
- Rối loạn chuyển hoá porphyrin bẩm sinh
- Vừa trải qua cuộc đại phẫu",Không sử dụng cho PNCT và CCB,"- Tăng nguy cơ loét dạ dày khi dùng với thuốc NSAIDs
- Tăng tác dụng chống đông khi dùng với thuốc chống đông
- Giảm tác dụng lợi tiểu khi dùng với các thuốc lợi tiểu, ức chế men chuyển, kháng sinh aminoglycosid","- Buồn nôn, nôn, tiêu chảy, rối loạn tiêu hoá
- Mất ngủ, lo âu, phù thanh quản, đánh trống ngực
- Đỏ mặt, viêm dạ dày, ban ngứa","Khôn bảo quản ở nhiệt độ trên 30 độ C, giữ vỉ thuốc trong hộp để tránh ánh sáng",,
Valsartan,80mg,Tabarex,Viên nén,Việt Nam,"- Điều trị tăng HA ở người lớn và trẻ > 6 tuổi
- Điều trị suy tim ở người lớn
- Giảm tỷ lệ tử vong do tim mạch sau nhồi máu cơ tim ở người lớn","- Mẫn cảm với các thành phần của thuốc
- Suy gan nặng, xơ gan ứ mật, tắc mật
- Mang thai 3 tháng cuối và 3 tháng đầu
- ĐTĐ hoặc suy thận","Tăng HA: Liều khởi đầu 80mg/ngày
Suy tim: Liều khởi đầu 40mg/ngày",,"- Tăng Kali huyết
- Hạ HA, hẹp ĐM thận
- Suy gan, thận ở trẻ em",- Không sử dụng trong 3 tháng đầu và 3 tháng cuối mang thai,"- Không phối hợp phong bế kép RAAS (ARB, ACEI, aliskiren) do tăng nguy cơ hạ huyết áp, tăng kali và suy thận.
- Lithium, thuốc giữ kali/bổ sung kali, NSAIDs: tăng nguy cơ độc tính, tăng kali và tổn thương thận cần theo dõi.
- Thuốc hạ huyết áp khác, thuốc lợi tiểu: làm tăng tác dụng hạ huyết áp, dễ gây tụt HA lúc đầu.
- Một số thuốc ảnh hưởng chất vận chuyển có thể làm tăng nồng độ valsartan.","- Thường gặp: Chóng mặt, hạ huyết áp, suy giảm chức năng thận, tăng kali máu.
- Ít gặp/khác: Ngất, nhức đầu, buồn nôn–tiêu chảy, phù mạch, tăng men gan, rối loạn huyết học.
- Trẻ em: Tác dụng phụ tương tự người lớn; tăng kali máu gặp nhiều hơn, nhất là trẻ có bệnh thận.","Bảo quản nơi khô ráo, ở nhiệt độ dưới 30°C.",https://drive.google.com/file/d/1T6ayXYzGS-Far-AIsJORj9BaH710FgBT/view?usp=sharing,
Oseltamivir (oseltamivir phosphat),75mg,Tamiflu,Viên nang cứng,Ý,Điều trị cúm và phòng ngừa cúm,Quá mẫn với Oseltamivir phosphate hoặc với bất ký thành phần nào,75mg/ 2 lần/ ngày,,"- Chỉ hiệu quả với virus cúm, không thay thế vắc xin cúm.

- Cân nhắc độ nhạy của virus cúm đang lưu hành trước khi dùng.

- Nguy cơ phản vệ và phản ứng da nặng (SJS, TEN) → ngừng thuốc ngay nếu xảy ra.
- Có thể gặp rối loạn tâm thần–thần kinh (mê sảng, hành vi bất thường), nhất là trẻ em
- Lưu ý bệnh nặng khác có thể giống hoặc kèm cúm; Tamiflu không phòng biến chứng ngoài cúm.
- Hiệu quả và độ an toàn còn hạn chế dữ liệu ở một số nhóm bệnh nhân đặc biệt.","- Oseltamivir được chuyển hóa thành chất có hoạt tính nhờ esterase, không phụ thuộc hệ CYP450 ít tương tác thuốc.
- Ít gắn protein huyết tương, nguy cơ tương tác do cạnh tranh gắn protein thấp.
- Không ức chế/cảm ứng CYP450 hay glucuronyl transferase.
- Cimetidin không ảnh hưởng nồng độ oseltamivir.
- Probenecid làm giảm thải trừ qua thận → tăng nồng độ chất chuyển hóa, nhưng không cần chỉnh liều thường quy.
- Amoxicillin và paracetamol: không ảnh hưởng nồng độ oseltamivir.","- viêm tai giữa
- đau đầu
- viêm kết mạc
- dau tai, RL màng nhĩ
- Nôn, đau bụng, viêm da","- viêm tai giữa
- đau đầu
- viêm kết mạc
- dau tai, RL màng nhĩ
- Nôn, đau bụng, viêm da","Bảo quản nơi khô ráo, ở nhiệt độ dưới 30°C.",https://drive.google.com/file/d/1w2q7YRGOf3Llw0BTJHrrLR1byspD1CMX/view?usp=sharing,
Acetyl leucin,500mg,Tanganil,Viên nén,Pháp,Điều trị cơn chóng mặt,"- Bệnh nhân dị ứng với Acetyleucine hoặc tá dược khác
- Bệnh nhân bị dị ứng với lúa mì","3-4 viên/ 2 lần/ngày (1,5-2g)",,- Có thể dùng cho bệnh nhân Celiac,Không sử dụng thuốc cho PNCT và CCB,,"phát ban, đỏ, mề đay, ngứa",Bảo quản thuốc ở nhiệt độ dưới 30 độ C,https://drive.google.com/file/d/1JjuAP5U9OQ9c4D_4Y-VdvqqakKbF5gYC/view?usp=sharing,
Ginkgo biloba,120mg,Tebonin,Viên nén bao phim,Germany,Điều trị rối loạn tuần hoàn máu và ngoại biên,Quá mẫn với thành phần của thuốc. Trẻ em dưới 12 tuổi,1-2 viên/ngày,,,Không có hại cho PNCT và CCB,Tương tác với các thuốc đông máu,"RL tiêu hoá nhẹ, nhức đầu, dị ứng, xuất huyết",Ở nhiệt độ dưới 30 độ C,https://drive.google.com/file/d/1Or9Vus3Lgupth7b6T1SDJl2GtvFabIrx/view?usp=sharing,
Amlodipin + telmisartan,5mg + 40mg,Telmiam,viên nén,Việt Nam,"- Điều trị tăng huyết áp vô căn
- Dùng cho bệnh nhân không kiểm soát tốt huyết áp khi dùng đơn trị liệu telmisartan hoặc amlodipine
- Giảm nguy cơ biến cố tim mạch (đột quỵ, nhồi máu cơ tim) ở bệnh nhân tăng huyết áp có nguy cơ cao","- Quá mẫn với telmisartan, amlodipine hoặc dẫn xuất dihydropyridin
- Phụ nữ có thai (đặc biệt 3 tháng giữa và 3 tháng cuối)
- Suy gan nặng, tắc mật
- Sốc tim
- Hạ huyết áp nặng
- Hẹp van động mạch chủ nặng
- Suy tim mất bù sau nhồi máu cơ tim cấp","- 1 viên/ngày, uống cùng hoặc không cùng bữa ăn (uống vào cùng một thời điểm mỗi ngày)
- Hàm lượng tùy đáp ứng (40/5 mg; 80/5 mg; 40/10 mg; 80/10 mg)",Telmisartan 80 mg/ngày + Amlodipine 10 mg/ngày.,"- Suy gan, tăng HA do hẹp mạch thận
- Suy thận, ghép thận, giảm thể tích nội mạch","- Sử dụng cho phụ nữ có thai
+ Không sử dụng
+ Thuốc tác động lên hệ renin–angiotensin gây độc cho thai
+ Nguy cơ gây thiểu ối, suy thận thai nhi, tử vong thai
- Sử dụng cho phụ nữ cho con bú
+ Không khuyến cáo sử dụng
+ Cân nhắc ngừng cho con bú hoặc đổi sang thuốc khác an toàn hơn","- Thuốc lợi tiểu, thuốc hạ áp khác: tăng nguy cơ hạ huyết áp
- NSAIDs: giảm tác dụng hạ huyết áp, tăng nguy cơ suy thận
- Thuốc ức chế/hoạt hóa CYP3A4 (erythromycin, clarithromycin, rifampicin…): ảnh hưởng nồng độ amlodipine
- Digoxin, lithium: tăng nồng độ trong máu
- Bổ sung kali, thuốc giữ kali: tăng nguy cơ tăng kali máu","- Thường gặp: chóng mặt, đau đầu, phù ngoại biên, mệt mỏi
- Ít gặp: buồn nôn, hồi hộp, đỏ bừng mặt
- Hiếm gặp: hạ huyết áp, rối loạn chức năng gan, phản ứng dị ứng","Nơi khô ráo, tránh ánh sáng, nhiệt độ không quá 30°C.",https://drive.google.com/file/d/1b8p4-0GqVNK_vHnQk062rBIFoRXUMNlW/view?usp=sharing,
Telmisartan,40mg,Telmida 40,Viên nén,Tây Ban Nha,"- Tăng HA
- Phòng ngừa bệnh tim mạch","- Quá mẫn với các thành phần của thuốc
- Bệnh lý tắc nghẽn đường mật
- Suy gan nặng
- Không dùng với Telmisartan",,,"- Suy gan
- Tăng HA do bệnh mạch máu thận
- Suy thận và ghép thận
- Giảm thể tích nội mạch","Không dùng cho PNCT 3 tháng đầu và 3 tháng cuối
Không khuyến cáo dùng cho PNCCB","- Phối hợp digoxin làm tăng nồng độ digoxin
- Dùng cùng thuốc lợi tiểu giữ kali làm tăng kali huyết
- Dùng với corticosteroid làm giảm tác dụng chống tăng HA","- Nhiếm trùng đường tiết niệu
- Thiếu máu, tăng kali huyết
- Mất ngủ, trầm cảm, ngất, chóng mặt
- Ngứa, tăng tiết mồ hôi, phát ban",Bảo quản ở nhiệt độ không quá 30 độ C,https://drive.google.com/file/d/1wuYVx5rg1rP2-wKGUqxBSGFUkfJgmGRJ/view?usp=sharing,
Tenofovir + Lamivudin,100mg + 300mg,Temivir,Viên nén,Việt Nam,"- Điều trị cho bệnh nhân nhiễm HBV đã thất bại điều trị với tenofovir disoproxil fumarat hoặc lamivudin đơn trị liệu.
- Điều trị nhiễm Virus HIV-1 gây suy giảm miễn dịch ở người lớn và thanh thiếu niên (từ 12 tuổi trở lên và cân nặng >35kg)",,1 viên/ lần,,"- Ngừng thuốc nếu có tổn thương gan, gan nhiễm mỡ, nhiễm toan lactic; theo dõi sát khi có viêm gan B/C (ngưng thuốc có thể làm viêm gan B nặng lên).
- Thận trọng suy thận cần giảm liều, theo dõi chức năng thận & phosphat huyết định kỳ.
- Có thể giảm mật độ xương theo dõi nguy cơ loãng xương, gãy xương.",- Không sử dụng cho PNCT và CCB,,"- Đau đầu, mỏi cơ, rối loạn tiêu hóa; giảm phosphat huyết, tăng men gan, đau cơ–xương; triệu chứng hô hấp trên; giảm bạch cầu trung tính.
- Ít/hiếm: độc gan, độc thận (protein niệu, hội chứng Fanconi, suy thận cấp), nhiễm toan lactic, viêm tụy. Rối loạn thần kinh (dị cảm, co giật), thiếu máu; phản vệ, hội chứng phục hồi miễn dịch; rối loạn mỡ–chuyển hóa; viêm gan B nặng lên khi ngừng thuốc.","Bảo quản nơi khô ráo, ở nhiệt độ dưới 30°C.",https://drive.google.com/file/d/1smylGItP77jw8SUA3J7RXn1dUnjEAstP/view?usp=sharing,
Tenofovir (TDF),300mg,Tenofovir,Viên nén bao phim,Việt Nam,"Điều trị nhiễm HIV-1, nhiễm viêm gan B",Quá mẫn với bất kỳ thành phần nào cảu thuốc,1 viên/lần/ngày,,"- Suy gan, suy thận
- Hội chứng suy giảm miễn dịch
- Hoại tử xương",Không có dữ liệu nghiên cứu sử dụng cho PNCT và CCB,"- Gây độc thận khi phối hợp với aminoglycosid, amphotericin B, vancomycin,..
- Tăng nồng độ khi dùng với Ledipasvir/ sofosbuvir
- Tăng nồng độ khi dùng với Atzanavir/ ritonavir","- Giảm phosphate huyết
- Chóng mặt, tiêu chảy, buồn nôn, nôn
- Tăng enzym gan, phát ban, tiêu cơ vân, nhược cơ, suy nhược","Dưới 30 độ C, nơi khô ráo, tránh ánh sáng",https://drive.google.com/file/d/16Eji3Z2uMhIoTBclsCKrTkEprIPUu9_o/view?usp=sharing,
Codein + terpin hydrat,15mg + 100mg,Terpincold,Viên nén bao phim,Việt Nam,Giảm họ khan và họ do ngứa cổ ở người lớn.,"- Dị ứng với bất kỳ thành phần nào của thuốc.
- Trẻ em dưới 15 tuổi, có tiền sử động kinh hoặc co giật do sốt cao.
- Trẻ dưới 18 tuổi, vừa cắt amidan và/hoặc nạo V.A.
- Suy hô hấp.
- Họ suyễn.
- Phụ nữ cho con bú.
- Kết hợp với các dẫn xuất có liên quan morphin (Buprenorphin, nalbuphin, pentazocin).
- Những bệnh nhân mang gen chuyển hóa thuốc qua CYP2D6 siêu nhanh.
- Trẻ em dưới 12 tuổi để điều trị họ do có nguy cơ cao xảy ra các phản ứng có hại nghiêm trọng và đe dọa tính mạng.",1-2 viên/ mỗi 6 giờ,8 viên/ngày,"- Không dùng cho ho có đờm, không phối hợp thuốc long đờm; chỉ dùng liều thấp, không tự tăng liều.
- Nguy cơ do chuyển hóa CYP2D6: người chuyển hóa nhanh/siêu nhanh - ngộ độc morphin (buồn ngủ, thở nông, co đồng tử, suy hô hấp, có thể tử vong).
- Không dùng cho trẻ em suy hô hấp, thở khò khè khi ngủ; thận trọng bệnh gan, tăng áp lực nội sọ; tránh rượu.
- Có thể dương tính doping.
- Gây buồn ngủ khi lái xe",Không sử dụng cho PNCTCCB,"- Thuốc chủ vận/đối kháng morphin giảm hiệu quả codein, tăng nguy cơ hội chứng cai.
- Rượu & thuốc ức chế TKTW tăng an thần, suy hô hấp tránh phối hợp.
- Dẫn xuất morphin khác tăng nguy cơ suy hô hấp, nhất là người cao tuổi.","Táo bón, buồn ngủ, chóng mặt, buồn nôn/nôn; hiếm gặp khó thở, dị ứng; ngừng đột ngột có thể gây phụ thuộc","Nơi khô, nhiệt độ dưới 30 độ C",https://drive.google.com/file/d/1t4Jd-bXo1Q0LBKodA5dQQRlqLoJbyj_B/view?usp=sharing,
Tetracyclin (hydroclorid),500mg,Tetracyclin,Viên nang cứng,Việt Nam,"- Điều trị nhiễm khuẩn hô hấp
- Nhiễm khuẩn đường niệu
- Các bệnh lây qua đường tình dục
- Nhiễm trùng da","- Quá mẫn cảm với các thành phần của thuốc
- Suy gan, suy thận mạn tính, suy thân nặng trong lupus ban đỏ","Người lớn : 1 viên/lần x 2-4 lần/ngày
Trẻ em : 25-50mg/kg thể trọng/ngày",,"-Lupus ban đỏ
- Nhược ơ
- Suy thận, suy gan",Không dùng cho PNCT và CCB,"- Giảm hoạt hoá prothrombin khi dùng với thuốc chống đông
- Nồng độ thuốc giảm khi dùng với thuốc chống acid
- Giảm hoạt lực penicillines khi dùng cùng","- Buồn nôn, nôn, ỉa chảy
- Loét và co hẹp thực quản
- Thiếu máu tan huyết, giảm tiểu cầu, giảm bạch cầu trung tính
- Viêm cổ tử cung, viêm âm đạo, tăng áp lực nội sọ lành tính","Dưới 30 độ C, nơi khô ráo, tránh ánh sáng",https://drive.google.com/file/d/1z9esjoCspGdOplCmVTyd7tPadBO3dFRg/view?usp=sharing,
Glimepirid + metformin,2mg + 500mg,THcomet - GP2,Viên nén bao phim giải phóng kéo dài,Việt Nam,"Điều trị cho bệnh nhân đái tháo đường typ 2 khi chế độ ăn kiêng, tập thể dục và sử dụng thành phần đơn lẻ không đạt được hiệu quả kiểm soát đường huyết đầy đủ.","- Suy thận nặng (eGFR <30), suy gan, thiếu oxy mô, nhiễm toan ceton/ĐTĐ typ 1, nhiễm khuẩn nặng–mất nước, tiêm cản quang iod, gây mê, thai kỳ & cho con bú, nghiện rượu.
- ĐTĐ phụ thuộc insulin, hôn mê/nhiễm toan ceton, suy gan hoặc thận nặng, quá mẫn sulfonylurea.",1 viên/ngày,M: 2000mg/ngày+ G: 8mg/ngày,"- Nguy cơ nhiễm toan lactic (hiếm nhưng nguy hiểm, có thể tử vong). - -- Tăng nguy cơ khi suy thận, ≥65 tuổi, suy gan, suy tim cấp/giảm oxy, uống rượu, phẫu thuật, dùng thuốc cản quang iod, tương tác thuốc. Ngừng ngay metformin nếu nghi toan lactic; theo dõi eGFR định kỳ, CCĐ khi eGFR <30; tạm ngừng khi chụp cản quang, phẫu thuật, suy tim cấp.
- Thận trọng ở bệnh nhân thiếu G6PD (nguy cơ thiếu máu tan huyết).
Không dùng nếu không dung nạp galactose/thiếu lactase/kém hấp thu glucose–galactose (do lactose).",Không dùng cho PNCT. Dùng thuốc ngừng cho con bú,"- Tăng nguy cơ nhiễm toan lactic với rượu, chất cản qunag iod
-Tăng đường huyết khi dùng với Glucocorticoid, β2-agonist, thuốc lợi tiểu
- Hạ đường huyết khi dùng với thuốc ức chế men chuyển (ACEI)
- Không dùng với các thuốc cảm ứng CYP2C9 (rifampicin) giảm tác dụng, ức chế CYP2C9 (fluconazol) → tăng nguy cơ hạ đường huyết.",,"Bảo quản trong bao bì kín, tránh ẩm, nhiệt độ dưới 30°C.",https://drive.google.com/file/d/1djNJCSp-pXwoE8DrfQQdklng6AyuwGfn/view?usp=sharing,
Levothyroxin,100mcg,Thyroberg 100,Viên nén không bao,Ấn Độ,Điều trị hội chứng suy giáp,"- Chống chỉ định ở người dị ứng levothyroxin hoặc tá dược.
- Không dùng khi: suy thượng thận chưa điều trị, cường giáp chưa kiểm soát, suy tim mất bù, bệnh mạch vành, loạn nhịp chưa kiểm soát.
- Không dùng cho bệnh nhân sau phẫu thuật tuyến giáp nhưng TSH vẫn bình thường.","Người lớn: Khởi đầu 50-100mcg/ngày
Trẻ em: Khởi đầu 10-15mcg/ ngày","Người lớn: 100-200mcg/ ngày
Trẻ em: 50mcg/ngày","- Levothyroxin không dùng để giảm cân/béo phì; có thể gây biến cố tim mạch nguy hiểm.
- Thận trọng/giảm liều ở: người thiểu năng giáp lâu năm, bướu cổ lâu năm, người cao tuổi, bệnh tim mạch, loãng xương, phụ nữ quanh mãn kinh.
- Theo dõi TSH chặt chẽ (đặc biệt người >60 tuổi); dùng quá liều làm tăng nguy cơ rung nhĩ và mất xương.
- Thận trọng khi phối hợp: thuốc tim mạch, glucocorticoid, chất cản quang iod, thuốc chống đông (theo dõi INR).",Chưa thấy tác dụng nào đến bào thai khi người mẹ mang thai dùng hormon giáp,"- GIảm tác dụng/ giảm hấp thu levothyroxin: rifampicin, amiodaron, imatinib; sắt, calci, cholestyramin, sucralfat (uống cách ≥2 giờ).
- Cảm ứng enzym cần chỉnh liều: carbamazepin, phenytoin, barbiturat.
- Tăng tác dụng thuốc chống đông theo dõi INR.
- Khác: estrogen, insulin/thuốc hạ đường huyết, propranolol, ketamin, corticoid theo dõi & chỉnh liều khi cần.","Thường gặp : triệu chứng cường giáp (sụt cân, hồi hộp, tim nhanh/loạn nhịp, run, mất ngủ, tiêu chảy, vã mồ hôi, không chịu nóng…).

Ít gặp: rụng tóc.","Nơi khô, nhiệt độ dưới 30 độ C",https://drive.google.com/file/d/1Hv0hevO0432A8lbaJWc0cOGLFmiTsqPX/view?usp=sharing,
Thiamazol,10mg,Thyrozol,Viên nén bao phim,Germany,"- Điều trị bảo tồn cường giáp
- Chuẩn bị phẫu thuật cường giáp
- Điều trị xen kẽ khi điều trị bằng iod phóng xạ
- Điều trị dự phòng cường giáp","- Quá mẫn cảm với thành phần cảu thuốc
- RL công thức máu từ trung bình đến nặng
- Ứ mật trước đó không do cường giáp
- Đã từng tổn thương tuỷ xương, bị viêm tuỷ khi dùng thiamazole hoặc carbimazole","Người lớn : 10-40mg/ngày
Trẻ em : 0,5mg/kg/ngày",,"- Ảnh hưởng tuỷ xương
- Viêm tuỵ cấp
- Tiền sử các phản ứng quá mẫn ( ban dị ứng, ngứa)","- Sử dụng thuốc dựa trên đánh giá lợi ích/ nguy cơ
- Có thể sử dụng với PNCCB liều 10mg/ngày không sử dụng them hormon tuyến giáp","- Thiếu iod làm tăng đáp ứng thuốc, dư iod làm giảm đáp ứng","- Mất bạch cầu hạt, giảm tiểu cầu, hội chứng insulin tự miễn, RL vị giác, viêm dây thần kinh, rụng tóc, lupus ban đỏ",Bảo quản ở nhiệt độ không quá 30 độ C,https://drive.google.com/file/d/1hULzffA0WdMFKq-VhVNMLzePCodNP9Xg/view?usp=sharing,
Thiamazol,5mg,Thyrozol,Viên nén bao phim,Germany,"- Điều trị bảo tồn cường giáp
- Chuẩn bị phẫu thuật cường giáp
- Điều trị xen kẽ khi điều trị bằng iod phóng xạ
- Điều trị dự phòng cường giáp","- Quá mẫn cảm với thành phần cảu thuốc
- RL công thức máu từ trung bình đến nặng
- Ứ mật trước đó không do cường giáp
- Đã từng tổn thương tuỷ xương, bị viêm tuỷ khi dùng thiamazole hoặc carbimazole","Người lớn : 5- 20 mg/ngày
Trẻ em : 0,5mg/kg/ngày",,"- Ảnh hưởng tuỷ xương
- Viêm tuỵ cấp
- Tiền sử các phản ứng quá mẫn ( ban dị ứng, ngứa)","- Sử dụng thuốc dựa trên đánh giá lợi ích/ nguy cơ
- Có thể sử dụng với PNCCB liều 10mg/ngày không sử dụng them hormon tuyến giáp","- Thiếu iod làm tăng đáp ứng thuốc, dư iod làm giảm đáp ứng","- Mất bạch cầu hạt, giảm tiểu cầu, hội chứng insulin tự miễn, RL vị giác, viêm dây thần kinh, rụng tóc, lupus ban đỏ",Bảo quản ở nhiệt độ không quá 30 độ C,https://drive.google.com/file/d/1hULzffA0WdMFKq-VhVNMLzePCodNP9Xg/view?usp=sharing,
Entecavir,"0,5mg","Tonios-0,5",Viên nén bao phim,Việt Nam,"- Điều trị viêm gan B mạn ở người lớn: gan còn bù (± mất bù) khi có HBV nhân lên, ALT tăng dai dẳng và/hoặc bằng chứng mô học viêm/xơ hóa.
- Áp dụng cho HBeAg dương hoặc âm, chưa điều trị nucleosid; hiệu quả cả ở bệnh nhân kháng lamivudin.
- Trẻ em 2–18 tuổi (gan còn bù) chưa dùng nucleosid, có HBV nhân lên, ALT tăng hoặc viêm/xơ hóa mức độ vừa–nặng.",Mẫn cảm với entecavir hoặc bất kỳ thành phần nào của thuốc,"0,5mg/ngày",1mg/ngày,"- Suy thận: chỉnh liều, theo dõi HBV DNA.
- Đợt cấp viêm gan: có thể xảy ra khi dùng hoặc sau ngừng theo dõi ALT/HBV DNA ≥6 tháng.
- Gan mất bù/xơ gan: nguy cơ biến cố nặng, nhiễm toan lactic → theo dõi sát.
- Kháng lamivudin: nguy cơ kháng entecavir cân nhắc phối hợp thuốc.
HIV/HBV: không dùng nếu chưa HAART.","- Nguy cơ với PNCT chưa rõ
- Không khuyến cáo với PNCCB",Thải trừ qua thận dùng chung thuốc độc thận hoặc cạnh tranh bài tiết ống thận có thể tăng nồng độ entecavir,"- Hiếm gặp : phản ứng phản vệ
- Thường gặp : mất ngủ, đau đầu, chóng mặt, buồn ngủ, nôn, tiêu chảy
- Ít gặp : phát ban, rụng tóc","Giữ thuốc trong bao bì gốc của nhà ản xuất, đậy kín. Nơi khô ráo, tránh ánh sáng, nhiệt độ không quá 30 độ C",https://drive.google.com/file/d/14chF1roIrkP5QD2QawPmTRtfPsz7bEF1/view?usp=sharing,
Piroxicam,20mg,Toricam,Viên nang,Taiwan,"- Giảm đau viêm khớp dạng thấp, viêm xương khớp, thoái hoá khớp, viêm cột sống dính khớp, bệnh cơ xương khớp
- Giảm đau thống kinh, đau sau phẫu thuật, bệnh gout cấp",,20mg/ngày,,"- Người cao tuổi
- RL chảy máu, bệnh tim mạch, tiền sử loét dạ dày tá tràng, suy gan, suy thận
- Đang dùng thuốc lợi niệu","- Không dùng cho PNCT 3 tháng cuối hoặc gần lúc chuyển dạ
- Chưa xác định độ an toàn thuốc tỏng giai đoạn CCB","- Hạ nồng độ thuốc khi dùng với aspirin
- Tăng độc tính lithi khi dùng chung
- Đẩy protein khỏi huyết tương khi dùng với thuốc chống đông loại cumarin và các thuốc có liên kết protein cao","- Viêm miệng, dau vùng thượng vị, buồn nôn, nôn, táo bón, đau bụng, tiêu chảy, khó tiêu
- Giảm huyết cầu tố và hemacrotit, thiếu máu, giảm bạch cầu
- Trầm cảm, mất ngủ, bồn chồn, viêm tuỵ, đái khó","Bảo quản ở nơi khô, dưới 30 độ C, tránh ánh sáng",https://drive.google.com/file/d/1HxOepR1gNSFtuNOlaDi45m-urUcMMI3U/view?usp=sharing,
